datenum_noUV,oxygen_noUV_umol_kg
31-Oct-2017 09:30:00,261.421193791701
31-Oct-2017 09:45:00,261.440503955838
31-Oct-2017 10:00:00,261.448690484384
31-Oct-2017 10:15:00,261.465451533969
31-Oct-2017 10:30:00,261.477320304418
31-Oct-2017 10:45:00,261.485540686136
31-Oct-2017 11:00:00,261.48883061624
31-Oct-2017 11:15:00,261.487218222042
31-Oct-2017 11:30:00,261.465773759985
31-Oct-2017 11:45:00,261.422685002521
31-Oct-2017 12:00:00,261.368537714978
31-Oct-2017 12:15:00,261.313900610439
31-Oct-2017 12:30:00,261.278832128178
31-Oct-2017 12:45:00,261.265578378987
31-Oct-2017 13:00:00,261.261066344811
31-Oct-2017 13:15:00,261.209147362881
31-Oct-2017 13:30:00,261.20536748826
31-Oct-2017 13:45:00,261.222574259493
31-Oct-2017 14:00:00,261.23729118707
31-Oct-2017 14:15:00,261.233542832868
31-Oct-2017 14:30:00,261.271418879378
31-Oct-2017 14:45:00,261.314248043581
31-Oct-2017 15:00:00,261.381581408223
31-Oct-2017 15:15:00,261.455675776409
31-Oct-2017 15:30:00,261.555446570972
31-Oct-2017 15:45:00,261.672466837772
31-Oct-2017 16:00:00,261.7941515458
31-Oct-2017 16:15:00,261.928045258108
31-Oct-2017 16:30:00,262.085320587884
31-Oct-2017 16:45:00,262.250751064191
31-Oct-2017 17:00:00,262.417637844561
31-Oct-2017 17:15:00,262.596604990158
31-Oct-2017 17:30:00,262.782413422208
31-Oct-2017 17:45:00,262.975210682178
31-Oct-2017 18:00:00,263.172431078246
31-Oct-2017 18:15:00,263.394430744978
31-Oct-2017 18:30:00,263.600091924137
31-Oct-2017 18:45:00,263.677833197739
31-Oct-2017 19:00:00,263.756172248867
31-Oct-2017 19:15:00,263.84367636673
31-Oct-2017 19:30:00,264.037431256548
31-Oct-2017 19:45:00,264.232866312847
31-Oct-2017 20:00:00,264.494933472351
31-Oct-2017 20:15:00,264.774059718723
31-Oct-2017 20:30:00,265.038284208554
31-Oct-2017 20:45:00,265.344483103724
31-Oct-2017 21:00:00,265.528518653784
