datetime,oxygen_uncorrected_umol_kg,oxygen_corrected_umol_kg
08-Oct-2019 20:31:33,247.353639323085,229.894162641142
08-Oct-2019 20:46:33,247.237736549273,229.785181682278
08-Oct-2019 21:01:33,247.25439254973,229.799402660394
08-Oct-2019 21:16:33,247.126375577291,229.679164459945
08-Oct-2019 21:31:33,246.944462764475,229.50883704657
08-Oct-2019 21:46:33,246.8222289658,229.393976564666
08-Oct-2019 22:01:33,246.664857186964,229.246460621843
08-Oct-2019 22:16:33,246.595398617927,229.180650988193
08-Oct-2019 22:31:33,246.352249254953,228.953418340526
08-Oct-2019 22:46:33,246.174721434227,228.78717479507
08-Oct-2019 23:01:33,246.150323266532,228.763246241654
08-Oct-2019 23:16:33,246.277294581281,228.879994513188
08-Oct-2019 23:31:33,246.459592408899,229.048159395112
08-Oct-2019 23:46:33,246.476055881695,229.062204476482
09-Oct-2019 00:01:33,246.643727381122,229.216773604476
09-Oct-2019 00:16:33,246.627603467049,229.200532866345
09-Oct-2019 00:31:33,246.724148499447,229.288999312384
09-Oct-2019 00:46:33,246.890616233351,229.442445921556
09-Oct-2019 01:01:33,246.971621723221,229.516468783777
09-Oct-2019 01:16:33,247.018281168119,229.558572420645
09-Oct-2019 01:31:33,246.964696352668,229.507517282067
09-Oct-2019 01:46:33,246.971869712704,229.512925727579
09-Oct-2019 02:01:33,247.07819495693,229.610476262941
09-Oct-2019 02:16:33,247.089517868921,229.61974024492
09-Oct-2019 02:31:33,247.113747928161,229.640998627703
09-Oct-2019 02:46:33,247.165203535615,229.687557127851
09-Oct-2019 03:01:33,247.211300291488,229.729135216875
09-Oct-2019 03:16:33,247.237166052171,229.751912630999
09-Oct-2019 03:31:33,247.173403482932,229.691400637907
09-Oct-2019 03:46:33,247.295042122535,229.80317659401
09-Oct-2019 04:01:33,247.237172536438,229.748141099883
09-Oct-2019 04:16:33,247.252579290984,229.761198747466
09-Oct-2019 04:31:33,247.336591412572,229.838007911474
09-Oct-2019 04:46:33,247.427799413723,229.921502966741
09-Oct-2019 05:01:33,247.480812707577,229.969504976086
09-Oct-2019 05:16:33,247.425638791607,229.916974919387
09-Oct-2019 05:31:33,247.440754743715,229.929760998966
09-Oct-2019 05:46:33,247.392305919744,229.883480836241
