time,partial_pressure_of_carbon_dioxide_in_sea_water,pCO2_weekly_std
2015-09-25 19:05:00,542.4136152479,6.509909126758491
2015-09-25 20:05:00,540.2231093361,6.51740647983651
2015-09-25 21:05:00,539.2584619867,6.520942674271959
2015-09-25 22:05:00,540.12582688,6.518283349254726
2015-09-25 23:05:00,540.2849811834,6.503178493389283
2015-09-26 00:05:00,541.0035206963,6.509937006988202
2015-09-26 01:05:00,532.9240264838,6.524245943841208
2015-09-26 02:05:00,536.1203258975,6.526918783613131
2015-09-26 03:05:00,541.6568657822,6.536071575288967
2015-09-26 04:05:00,541.1896274597,6.530337013757441
2015-09-26 05:05:00,540.6805589607,6.518129377430815
2015-09-26 06:05:00,539.6558507352,6.501712420575895
2015-09-26 07:05:00,537.8837684334,6.48849923220602
2015-09-26 08:05:00,537.0140613029,6.476236144435966
2015-09-26 09:05:00,536.7006207918,6.463159803474411
2015-09-26 10:05:00,536.8587704124,6.455424897345049
2015-09-26 11:05:00,535.2461221937,6.459356314001408
2015-09-26 12:05:00,537.1929711211,6.472058439349639
2015-09-26 13:05:00,536.3482186277,6.494916993464363
2015-09-26 14:05:00,535.8440047437,6.522733529536704
2015-09-26 15:05:00,534.0860382516,6.548599541314068
2015-09-26 16:05:00,532.6110495929,6.562005849454442
2015-09-26 17:05:00,533.0645257653,6.556200577598981
2015-09-26 18:05:00,532.9672130123,6.556032847741563
2015-09-26 19:05:00,532.3603181803,6.564493784307384
2015-09-26 20:05:00,529.3097474949,6.572599835783096
2015-09-26 21:05:00,528.2256131936,6.585367210283302
2015-09-26 22:05:00,530.5294050455,6.601280468290589
2015-09-26 23:05:00,529.0009561605,6.636789062202093
2015-09-27 00:05:00,527.4546813373,6.698073975782895
2015-09-27 01:05:00,531.88575692,6.776002939946225
2015-09-27 02:05:00,531.8717111903,6.882394667539316
2015-09-27 03:05:00,532.2822940035,6.99555408829553
2015-09-27 04:05:00,532.75838405,7.09991959190555
2015-09-27 05:05:00,533.5740421629,7.202196277253865
2015-09-27 06:05:00,535.0500830767,7.284809087004609
2015-09-27 07:05:00,535.8036466437,7.360446521889913
2015-09-27 08:05:00,535.6634223651,7.428817071780216
2015-09-27 09:05:00,534.3095791451,7.492013761878119
2015-09-27 10:05:00,531.9645135835,7.5590616604561305
2015-09-27 11:05:00,531.0632347035,7.644207930648421
2015-09-27 12:05:00,533.6942860487,7.757337860745463
2015-09-27 13:05:00,534.2563413392,7.898590623007809
2015-09-27 14:05:00,532.6749319328,8.014921385761633
2015-09-27 15:05:00,534.4455710727,8.077445892163047
2015-09-27 16:05:00,542.6214999683,8.118668921689373
2015-09-27 17:05:00,548.7523753305,8.153234608973406
2015-09-27 18:05:00,552.9181825464,8.195413021686845
2015-09-27 19:05:00,554.6746788908,8.215999636054198
2015-09-27 20:05:00,554.332718185,8.253087040448117
2015-09-27 21:05:00,552.9188305135,8.282103243735898
2015-09-27 22:05:00,549.619990512,8.285366490487089
2015-09-27 23:05:00,550.0365135857,8.28312119720484
2015-09-28 00:05:00,542.7844159729,8.291559438319446
2015-09-28 01:05:00,548.849017819,8.298560398025739
2015-09-28 02:05:00,549.2062366153,8.296820799513952
2015-09-28 03:05:00,546.4549954937,8.296870585172876
2015-09-28 04:05:00,552.7836369419,8.307530608504385
2015-09-28 05:05:00,549.6831107706,8.319533531989293
2015-09-28 06:05:00,552.4348381025,8.341088606452677
2015-09-28 07:05:00,553.7105221116,8.357304387455564
2015-09-28 08:05:00,555.3843170438,8.36460191096218
2015-09-28 09:05:00,555.547996768,8.368089705441381
2015-09-28 10:05:00,553.0957607899,8.368185669297672
2015-09-28 11:05:00,549.1850838882,8.363290442786912
2015-09-28 12:05:00,549.6612387157,8.36188302913385
2015-09-28 13:05:00,547.8133073743,8.361666636739306
2015-09-28 14:05:00,546.520601364,8.36132637568948
2015-09-28 15:05:00,541.4520020158,8.362307690915314
2015-09-28 16:05:00,551.0240606885,8.358355208240125
2015-09-28 17:05:00,551.910877677,8.367435451757638
2015-09-28 18:05:00,551.9974919343,8.396967298159083
2015-09-28 19:05:00,553.5705218423,8.425385751281482
2015-09-28 20:05:00,554.3074028453,8.419681097567324
2015-09-28 21:05:00,551.8025438088,8.415354006880305
2015-09-28 22:05:00,547.9448589636,8.407438549704853
2015-09-28 23:05:00,544.1589143719,8.403697563461527
2015-09-29 00:05:00,541.5041808567,8.40701574196989
2015-09-29 01:05:00,540.4121392228,8.386833986667757
2015-09-29 03:05:00,541.7771242746,8.332571087307238
2015-09-29 04:05:00,536.3787385483,8.290053208617705
2015-09-29 05:05:00,545.3734753251,8.257576995068273
2015-09-29 06:05:00,547.344950413,8.23569631392458
2015-09-29 07:05:00,549.0057123702,8.227585109093862
2015-09-29 08:05:00,550.0423992587,8.225019897591809
2015-09-29 09:05:00,549.2959978004,8.223822364045043
2015-09-29 10:05:00,548.4659364522,8.221067674037174
2015-09-29 11:05:00,542.0938396689,8.218898605040673
2015-09-29 12:05:00,534.4028534151,8.221247356476953
2015-09-29 13:05:00,532.9814322755,8.222681032335958
2015-09-29 14:05:00,534.1277413125,8.233100747165585
2015-09-29 15:05:00,534.895378741,8.23755640221029
