time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,pmel_nh10_pco2_seawater,ooi_pmel_pco2_difference
2015-08-01 12:13:00,523.9608794583,563.1,-39.13912054169998
2015-08-01 15:13:00,540.0056131261,587.2,-47.194386873900044
2015-08-01 18:13:00,543.1968432163,583.6,-40.40315678370007
2015-08-01 21:13:00,541.3327370672,585.0,-43.667262932799986
2015-08-02 00:13:00,534.518696713,555.3,-20.7813032869999
2015-08-02 03:13:00,525.0670833676,547.1,-22.032916632399974
2015-08-02 06:13:00,520.7818488363,566.4,-45.61815116369996
2015-08-02 09:13:00,509.2955869452,547.7,-38.404413054800045
2015-08-02 12:13:00,506.4223551827,543.6,-37.177644817300006
2015-08-02 15:13:00,504.2585327741,529.6,-25.341467225900033
2015-08-02 18:13:00,500.5024844423,511.0,-10.497515557700012
2015-08-02 21:13:00,509.9080345149,514.4,-4.491965485099968
2015-08-03 00:13:00,325.9239794939,314.2,11.723979493900003
2015-08-03 03:13:00,283.2758519067,274.8,8.475851906699972
2015-08-03 06:13:00,415.5041018998,445.9,-30.395898100199986
2015-08-03 09:13:00,488.8732249088,548.7,-59.826775091200034
2015-08-03 12:13:00,470.003049867,527.6,-57.59695013300001
2015-08-03 15:13:00,494.1564204841,536.2,-42.043579515900035
2015-08-03 18:13:00,502.2235792417,521.0,-18.77642075829999
2015-08-03 21:13:00,461.8806611015,506.5,-44.61933889850002
2015-08-04 00:13:00,468.8644008553,475.7,-6.835599144699984
2015-08-04 03:14:00,480.9239760671,476.9,4.023976067100023
2015-08-04 06:14:00,481.5770416975,509.7,-28.122958302499967
2015-08-04 09:14:00,479.4471070812,502.7,-23.2528929188
2015-08-04 12:14:00,473.5194454725,507.7,-34.180554527499964
2015-08-04 15:14:00,452.3927543384,507.1,-54.70724566160004
2015-08-04 18:14:00,470.9105703594,483.1,-12.189429640599997
2015-08-04 21:14:00,467.6915864792,480.3,-12.608413520800013
2015-08-05 00:14:00,483.4859594745,498.1,-14.614040525500002
2015-08-05 03:14:00,496.2638847767,525.2,-28.93611522330002
2015-08-05 06:14:00,490.7779792746,506.8,-16.02202072540001
2015-08-05 09:14:00,498.3090971708,540.2,-41.89090282920006
2015-08-05 12:14:00,508.7007360803,560.1,-51.39926391970005
2015-08-05 15:14:00,516.1016002256,550.7,-34.598399774400036
2015-08-05 18:14:00,513.4185435832,577.5,-64.08145641680005
2015-08-05 21:14:00,519.8155138855,564.3,-44.48448611449999
2015-08-06 00:14:00,521.9205595307,553.6,-31.67944046930006
2015-08-06 03:14:00,518.0208350467,563.3,-45.27916495329998
2015-08-06 06:14:00,542.0709967925,566.5,-24.429003207500045
2015-08-06 09:14:00,511.3850165858,543.4,-32.0149834142
2015-08-06 12:14:00,521.6116251336,557.4,-35.78837486639998
2015-08-06 15:14:00,567.867251967,607.6,-39.73274803300001
2015-08-06 18:14:00,526.3236011733,559.9,-33.57639882670003
2015-08-06 21:14:00,517.5157907723,546.6,-29.084209227700057
2015-08-07 00:14:00,516.1938824465,528.0,-11.80611755350003
2015-08-07 03:14:00,505.3656687776,523.3,-17.934331222399976
2015-08-07 06:14:00,548.5763974559,575.8,-27.223602544100004
2015-08-07 09:14:00,513.1566123859,539.3,-26.143387614099993
2015-08-07 12:14:00,527.8893480824,562.5,-34.61065191759997
2015-08-07 15:14:00,529.4127875099,560.1,-30.687212490100023
2015-08-07 18:14:00,514.8332031143,543.7,-28.86679688570007
2015-08-07 21:14:00,496.6959248293,513.4,-16.70407517069998
2015-08-08 00:14:00,469.2903336349,500.3,-31.00966636510003
