depth,oxygen_umol_kg,oxygen_gain_corr_umol_kg
295.373437508823,281.111246912239,284.203470628273
297.46228550406,280.997070566984,284.08803834322
299.425347131247,280.984244483431,284.075071172748
301.389462254826,280.918368481477,284.008470534773
303.494310208629,280.787009917515,283.875667026607
305.472429220705,280.750776078006,283.839034614864
307.446044145118,280.641206196296,283.728259464456
309.545805459487,280.451322621255,283.536287170089
311.517029216254,280.319914037022,283.403433091429
313.484114561354,280.190806793155,283.27290566788
315.582227480703,280.002432031116,283.082458783458
317.678965421662,279.994217957167,283.074154354696
319.64882540808,280.084288251756,283.165215422526
321.616000266019,280.120523476692,283.201849234936
323.593115219853,280.053087349554,283.133671310399
325.682456035692,280.108055462678,283.189244072767
327.771443276251,280.05223998578,283.132814625623
329.862226824747,280.005026918233,283.085082214333
331.929543537088,279.858692086842,282.937137699797
333.997035781011,279.631974142212,282.707925857777
336.06464809309,279.324861686524,282.397435165076
338.154481426639,279.091851968193,282.161862339843
340.125526468162,278.966515334738,282.03514700342
342.224249718288,278.80448319547,281.87133251062
344.313093041269,278.777450084746,281.844002035678
346.248700865353,278.780055600497,281.846636212103
348.313615425853,278.758482395219,281.824825701566
350.25259463956,278.67602363519,281.741459895177
352.305897187906,278.521736186791,281.585475284846
354.355077006278,278.306543234632,281.367915210213
356.404319524046,278.238874956607,281.299502581129
358.318934226221,278.161035815642,281.220807209614
360.310584105504,278.304152092602,281.36549776562
362.180615011499,278.315332066506,281.376800719237
364.176239389531,278.235935083273,281.296530369189
366.236399724966,278.202596868839,281.262825434397
368.296120087585,278.022446162953,281.080693070746
370.356072014845,277.950825226531,281.008284304023
372.27370044862,277.892483110406,280.94930042462
374.308265495628,277.758368553836,280.813710607928
376.342516733459,277.739828345617,280.794966457419
378.389529586733,277.590071728405,280.643562517418
380.462675666436,277.669180589912,280.723541576401
382.532139289706,277.611575389654,280.665302718941
384.601263125676,277.554742044645,280.607844207136
386.626931666085,277.554930499728,280.608034735225
388.649779036736,277.546523669269,280.599535429631
390.54674779826,277.56859543133,280.621849981075
392.550355171712,277.51096094543,280.56358151583
394.553722293195,277.539264723553,280.592196635512
396.557338436709,277.503498194929,280.556036675073
398.491687733661,277.352876651675,280.403758294843
400.588189079963,277.265519360246,280.315440073209
402.684856669054,277.244578688274,280.294269053845
404.779211186864,277.193154491105,280.242279190508
406.865271683062,277.033869033204,280.081241592569
408.951487259286,277.025413730494,280.072693281529
410.921372969609,277.063929324813,280.111632547386
412.928585339046,277.122714234149,280.171064090725
415.069792439616,277.175227034528,280.224154531908
417.211225507119,277.298099043731,280.348378133212
419.337930345005,277.494464231016,280.546903337557
421.436102374331,277.509467063292,280.562071200988
423.407594656097,277.515886887745,280.56856164351
425.506277788059,277.527763866519,280.580569269051
427.704584117562,277.559189234763,280.612340316346
429.91161005569,277.506944883575,280.559521277294
432.119210761808,277.46486271853,280.516976208434
434.128232669703,277.453288496229,280.505274669687
436.23788679056,277.431525809377,280.483272593281
438.347730649204,277.245524613455,280.295225384203
440.460996817542,276.981294046784,280.028088281299
442.582310126021,276.879723935789,279.925400899083
444.574973945272,276.706981606217,279.750758403886
446.696105779939,276.712548658963,279.756386694211
448.870293372156,276.648493989662,279.691627423548
451.052129109267,276.716638982408,279.760522011214
453.23874979969,276.784815884045,279.829448858769
455.415330455249,276.906950171857,279.952926623747
457.579542326567,276.962592121689,280.009180635028
459.744450179222,276.996333245748,280.043292911451
461.908929648919,277.043374896727,280.090852020591
463.949382959483,276.991057850782,280.037959487141
466.122171444722,276.789251535487,279.833933302377
468.159167764856,276.453601823031,279.494591443084
470.309350194566,275.987230033707,279.023089564078
472.4485462381,275.708649023791,278.741444163053
474.457270941356,275.557634532431,278.588768512288
476.603687011376,275.571735543046,278.603024634019
478.633780106448,275.642194377742,278.674258515898
480.798837182696,275.605415999597,278.637075575592
482.964133593021,275.652394630258,278.684570971191
484.929958816503,275.564744128896,278.595956314314
486.867193872648,275.614070871388,278.645825650973
