time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,surface_partial_pressure_of_carbon_dioxide_in_air
2016-01-02 13:54:00,385.468362941,408.061642488
2016-01-02 14:53:00,386.7392903405,408.445900724
2016-01-02 14:54:00,386.6734517641,408.4457766144
2016-01-02 15:53:00,386.7148408586,406.5881388114
2016-01-02 15:54:00,386.6778620775,406.5843268037
2016-01-02 16:53:00,387.1581976314,408.7342196985
2016-01-02 16:54:00,387.1018844066,408.7380164561
2016-01-02 17:53:00,386.589643474,410.0724871133
2016-01-02 17:54:00,386.6046061559,410.0750750292
2016-01-02 18:53:00,384.9871699975,409.1501676152
2016-01-02 18:54:00,384.8341660498,409.1484806759
2016-01-02 19:54:00,377.1747471009,408.8919100872
2016-01-02 20:53:00,384.4030656304,409.6139333183
2016-01-02 20:54:00,384.2959073526,409.6151572581
2016-01-02 21:53:00,380.3001357019,408.2394826909
2016-01-02 21:54:00,380.1413227856,408.2366835191
2016-01-02 22:53:00,380.2714224032,405.9786949097
2016-01-02 22:54:00,380.3092308167,405.9736503702
2016-01-02 23:53:00,380.4843140883,404.0560510992
2016-01-02 23:54:00,380.3614452258,404.0522625491
2016-01-03 00:53:00,381.8162348877,406.0751520277
2016-01-03 00:54:00,381.7928771897,406.0789175408
2016-01-03 01:53:00,382.979311621,407.2988941645
2016-01-03 01:54:00,382.9753269183,407.3011513279
2016-01-03 02:53:00,384.8672958302,407.4322829531
2016-01-03 02:54:00,384.8340118431,407.4329160991
2016-01-03 03:53:00,387.1736470927,408.4605494221
2016-01-03 03:54:00,387.0974586726,408.4625232207
2016-01-03 04:53:00,385.8125647668,409.8287950321
2016-01-03 04:54:00,385.8962959536,409.8315017484
2016-01-03 05:53:00,384.242746114,410.8428870624
2016-01-03 05:54:00,384.1566817789,410.8449535781
2016-01-03 06:53:00,384.6930565836,411.2083815758
2016-01-03 06:54:00,384.6399888971,411.209017407
2016-01-03 07:54:00,377.2407030458,411.0799675243
2016-01-03 08:53:00,388.3009242125,410.7790339506
2016-01-03 08:54:00,388.244571922,410.7782509681
2016-01-03 09:53:00,389.286176906,407.0848065743
2016-01-03 09:54:00,389.2580393124,407.0770453665
2016-01-03 10:53:00,389.0578172547,406.4260547298
2016-01-03 10:54:00,388.9601940949,406.4251965801
2016-01-03 11:53:00,389.0429260219,407.3435607439
2016-01-03 11:54:00,388.999886915,407.3452650295
2016-01-03 12:53:00,389.1285115082,407.3757543588
2016-01-03 12:54:00,389.0413736738,407.3758521334
2016-01-03 13:53:00,389.9423061107,406.6567696908
2016-01-03 13:54:00,389.8266099186,406.6550411331
2016-01-03 14:53:00,391.9149395509,407.4073815691
2016-01-03 14:54:00,391.8795336788,407.4087309547
2016-01-03 15:53:00,397.6619919989,408.2820642097
2016-01-03 15:54:00,397.6117382186,408.2836689464
2016-01-03 16:53:00,401.5476190476,406.9793649721
2016-01-03 16:54:00,401.6792807797,406.9767828192
2016-01-03 17:53:00,403.3679946072,407.4681858364
2016-01-03 17:54:00,403.4182549963,407.4691634112
2016-01-03 18:53:00,406.197212823,408.7937294336
2016-01-03 18:54:00,406.0405409573,408.7964285272
2016-01-03 19:54:00,398.2680079228,407.7351142586
2016-01-03 20:53:00,401.587254591,407.2526210464
2016-01-03 20:54:00,401.4810942512,407.251766755
2016-01-03 21:53:00,407.7674958584,406.410641584
2016-01-03 21:54:00,407.8013971132,406.4087795014
2016-01-03 22:53:00,408.931311903,405.2466788407
2016-01-03 22:54:00,409.0096379225,405.2445215544
2016-01-03 23:53:00,405.4094999075,404.6722015967
2016-01-03 23:54:00,405.4082469775,404.67215675
2016-01-04 00:53:00,399.4739654929,406.6755014733
2016-01-04 00:54:00,399.6034264742,406.6791241887
2016-01-04 01:53:00,397.9288137535,406.6498862061
2016-01-04 01:54:00,397.9203367876,406.6505777729
2016-01-04 02:53:00,399.8477318388,405.680349718
2016-01-04 02:54:00,399.896373057,405.6782946804
2016-01-04 03:53:00,402.9265783062,407.139251966
2016-01-04 03:54:00,402.8697569701,407.1420054529
2016-01-04 04:53:00,403.3677021651,406.0013223924
2016-01-04 04:54:00,403.4048852702,405.9989368686
2016-01-04 05:53:00,403.9541080681,405.5100235317
2016-01-04 05:54:00,403.7310634098,405.5091659881
2016-01-04 06:53:00,406.1342986677,405.4102816651
2016-01-04 06:54:00,406.1269121638,405.4098536549
2016-01-04 07:54:00,393.8295501275,406.3785860634
2016-01-04 08:53:00,395.4518065322,405.2208909698
2016-01-04 08:54:00,395.4406920799,405.2186499806
2016-01-04 09:53:00,392.5871096856,405.4387181359
2016-01-04 10:53:00,392.3708981002,406.2889382072
2016-01-04 11:53:00,394.6384545398,406.5978871375
2016-01-04 11:54:00,394.5510115963,406.5996670031
2016-01-04 12:53:00,397.302327494,407.5975797473
2016-01-04 13:53:00,396.7380506895,407.3370810276
2016-01-04 14:53:00,395.8038592812,406.5590667749
2016-01-04 15:53:00,397.0445897415,407.4949555019
2016-01-04 16:53:00,391.6036200894,409.2761278768
2016-01-04 17:53:00,386.5977739397,408.4227238756
2016-01-04 18:53:00,384.9326904625,407.5146481021
2016-01-04 19:54:00,375.4278175289,406.3047909596
2016-01-04 20:53:00,382.111131672,403.8136476603
2016-01-04 21:53:00,382.5719151794,403.5408064872
2016-01-04 22:53:00,383.5462174795,402.44591901
2016-01-04 23:53:00,386.2465423417,403.1590939082
2016-01-05 00:53:00,388.1191675576,402.2152410108
2016-01-05 01:53:00,388.9874715574,403.9603111061
2016-01-05 02:53:00,389.5831071634,402.6332377575
2016-01-05 03:53:00,390.1743872851,402.541640132
2016-01-05 04:53:00,392.0309681443,401.9138716174
2016-01-05 05:53:00,392.4226567426,403.2811831589
2016-01-05 06:53:00,391.5000137073,403.6457965451
2016-01-05 07:54:00,381.9800456452,403.8147098604
2016-01-05 08:53:00,391.2709172903,403.3002509607
2016-01-05 09:53:00,393.1648607342,403.1058795427
2016-01-05 10:53:00,395.2698207089,404.2238036012
2016-01-05 11:53:00,396.8337548318,404.5848055338
2016-01-05 12:53:00,398.7802690737,404.6848111456
2016-01-05 13:53:00,400.3078960715,403.8967182966
2016-01-05 14:53:00,401.65161266,403.5860353274
2016-01-05 15:53:00,400.7655611755,404.7535295162
2016-01-05 16:53:00,398.9750219316,406.849279175
2016-01-05 17:53:00,394.5767572717,407.1586260272
2016-01-05 18:53:00,390.8172684157,405.7047468785
2016-01-05 19:54:00,383.017236889,405.0986272975
2016-01-05 20:53:00,392.7587897853,406.7695264144
2016-01-05 21:53:00,393.0113050689,405.6943830223
2016-01-05 22:53:00,392.4609000192,408.056512785
2016-01-05 23:53:00,392.2383453957,405.4194711459
2016-01-06 00:53:00,395.5972427831,403.1059982566
2016-01-06 01:53:00,404.8064842229,401.8889316472
2016-01-06 02:53:00,398.5815925103,405.1028179201
2016-01-06 03:53:00,387.4780306769,404.7533981676
2016-01-06 04:53:00,381.0132823423,406.6695721071
2016-01-06 05:53:00,385.2675967048,409.9638155942
2016-01-06 06:53:00,386.4683499191,405.2871417596
2016-01-06 07:54:00,380.9565548154,407.5221851532
2016-01-06 08:53:00,383.8626017765,404.1656583388
2016-01-06 09:53:00,379.203361022,407.3016341186
2016-01-06 10:53:00,378.6974566165,399.0380620098
2016-01-06 11:53:00,379.128762645,399.935419756
2016-01-06 12:53:00,379.1948899306,399.3629401343
2016-01-06 13:53:00,373.0257285413,403.8863184253
2016-01-06 14:53:00,376.0699893083,406.4987921229
2016-01-06 15:53:00,374.2664247334,407.8598254961
2016-01-06 16:53:00,389.6097780793,406.9188643729
2016-01-06 17:53:00,392.1211722455,406.4914453319
2016-01-06 18:53:00,385.263268635,404.9890948468
2016-01-06 19:53:00,374.8675363928,404.7045756235
2016-01-06 19:54:00,375.303764187,404.7039490131
2016-01-06 20:53:00,387.5383974833,405.1501535876
2016-01-06 21:53:00,383.8636846506,401.8696830903
2016-01-06 22:53:00,381.4511884201,403.5783755419
2016-01-06 23:53:00,380.4101145928,405.7181516419
2016-01-07 00:53:00,379.9172012501,406.6503187501
2016-01-07 01:53:00,377.6338960167,404.238426402
