,time,chlora,depth,chlora_dark,chlora_corr
2506,2018-06-26 21:30:55.501936128,0.5712,58.23449100226543,0.5355000000000001,0.1599240566012397
2505,2018-06-26 21:30:54.373232640,0.5831000000000001,58.30416083237491,0.5474000000000001,0.1634779245257117
2504,2018-06-26 21:30:53.243732992,0.6426000000000001,58.36869170702519,0.6069000000000001,0.18124726414807166
2503,2018-06-26 21:30:52.115004928,0.5831000000000001,58.423888483734245,0.5474000000000001,0.1634779245257117
2502,2018-06-26 21:30:50.985512960,0.6069,58.472591073339615,0.5712,0.17058566037465567
2501,2018-06-26 21:30:49.856007680,0.5950000000000001,58.51995249573206,0.5593000000000001,0.1670317924501837
2500,2018-06-26 21:30:48.726514176,0.6545000000000001,58.57124656687874,0.6188000000000001,0.18480113207254367
2499,2018-06-26 21:30:47.597790720,0.5831000000000001,58.63405362355646,0.5474000000000001,0.1634779245257117
2498,2018-06-26 21:30:46.468285440,0.6783,58.70417921723249,0.6426000000000001,0.19190886792148765
2497,2018-06-26 21:30:45.338785792,0.6188,58.77617182051108,0.5831000000000001,0.17413952829912768
2496,2018-06-26 21:30:44.210083328,0.5831000000000001,58.83349966206795,0.5474000000000001,0.1634779245257117
2495,2018-06-26 21:30:43.080545280,0.7973,58.8753985540219,0.7616,0.22744754716620758
2494,2018-06-26 21:30:41.951006208,0.5950000000000001,58.90041974621626,0.5593000000000001,0.1670317924501837
2493,2018-06-26 21:30:40.821469184,0.6188,58.91200525984516,0.5831000000000001,0.17413952829912768
2492,2018-06-26 21:30:39.692741632,0.5355000000000001,58.9199782969602,0.4998000000000001,0.14926245282782372
2491,2018-06-26 21:30:38.563984384,0.5474,58.94129947778991,0.5117,0.1528163207522957
2490,2018-06-26 21:30:37.434454528,0.6069,58.98878765649728,0.5712,0.17058566037465567
2489,2018-06-26 21:30:36.304927232,0.5950000000000001,59.05960350214086,0.5593000000000001,0.1670317924501837
2488,2018-06-26 21:30:35.175427584,0.6188,59.13885889165056,0.5831000000000001,0.17413952829912768
2487,2018-06-26 21:30:34.046701568,0.5831000000000001,59.21152053985478,0.5474000000000001,0.1634779245257117
2486,2018-06-26 21:30:32.918024192,0.5712,59.2698758326935,0.5355000000000001,0.1599240566012397
2485,2018-06-26 21:30:31.788520960,0.6307,59.30964255181164,0.5950000000000001,0.17769339622359967
2484,2018-06-26 21:30:30.658993152,0.5950000000000001,59.34158885496042,0.5593000000000001,0.1670317924501837
2483,2018-06-26 21:30:29.530290176,0.5474,59.384278459191385,0.5117,0.1528163207522957
2482,2018-06-26 21:30:28.400779264,0.6069,59.44107386539021,0.5712,0.17058566037465567
2481,2018-06-26 21:30:27.272035840,0.5831000000000001,59.5070265897194,0.5474000000000001,0.1634779245257117
2480,2018-06-26 21:30:26.143344640,0.5712,59.57139744889043,0.5355000000000001,0.1599240566012397
2479,2018-06-26 21:30:25.014624256,0.5593,59.62731605718592,0.5236000000000001,0.15637018867676772
2478,2018-06-26 21:30:23.885893632,0.5712,59.67358532375046,0.5355000000000001,0.1599240566012397
2477,2018-06-26 21:30:22.757181440,0.5831000000000001,59.71170308139766,0.5474000000000001,0.1634779245257117
2476,2018-06-26 21:30:21.628459008,0.5355000000000001,59.749891028568726,0.4998000000000001,0.14926245282782372
2475,2018-06-26 21:30:20.498929152,0.6069,59.788500563424925,0.5712,0.17058566037465567
2474,2018-06-26 21:30:19.369397760,0.5950000000000001,59.81629583817688,0.5593000000000001,0.1670317924501837
2473,2018-06-26 21:30:18.240720896,0.5117,59.83605144953494,0.47600000000000003,0.1421547169788797
2472,2018-06-26 21:30:17.112010752,0.5831000000000001,59.85498255751147,0.5474000000000001,0.1634779245257117
2471,2018-06-26 21:30:15.983308288,0.5831000000000001,59.889227293724296,0.5474000000000001,0.1634779245257117
2470,2018-06-26 21:30:14.853756416,0.6188,59.95167285887928,0.5831000000000001,0.17413952829912768
2469,2018-06-26 21:30:13.724982784,0.5593,60.04451052068115,0.5236000000000001,0.15637018867676772
2468,2018-06-26 21:30:12.596251648,0.5712,60.155603391359485,0.5355000000000001,0.1599240566012397
2467,2018-06-26 21:30:11.467853312,0.5236000000000001,60.258164055859545,0.48790000000000006,0.14570858490335173
2466,2018-06-26 21:30:10.339414528,0.5831000000000001,60.33459019446771,0.5474000000000001,0.1634779245257117
2465,2018-06-26 21:30:09.210930688,0.5712,60.36869207407676,0.5355000000000001,0.1599240566012397
2463,2018-06-26 21:30:06.953324544,0.5831000000000001,60.37419696606007,0.5474000000000001,0.1634779245257117
2464,2018-06-26 21:30:08.081717248,0.6188,60.37508179884964,0.5831000000000001,0.17413952829912768
2462,2018-06-26 21:30:05.824839168,0.5474,60.39376353712416,0.5117,0.1528163207522957
2461,2018-06-26 21:30:04.696391168,0.5712,60.44761475656236,0.5355000000000001,0.1599240566012397
2460,2018-06-26 21:30:03.567919104,0.5712,60.535600136932345,0.5355000000000001,0.1599240566012397
2459,2018-06-26 21:30:02.439670784,0.5117,60.627115340790375,0.47600000000000003,0.1421547169788797
2458,2018-06-26 21:30:01.310934528,0.5474,60.70095596768394,0.5117,0.1528163207522957
2454,2018-06-26 21:29:56.796090368,0.5355000000000001,60.702814869972165,0.4998000000000001,0.14926245282782372
2455,2018-06-26 21:29:57.924805120,0.5355000000000001,60.715066260124985,0.4998000000000001,0.14926245282782372
2453,2018-06-26 21:29:55.667324928,0.5236000000000001,60.72287384153655,0.48790000000000006,0.14570858490335173
2456,2018-06-26 21:29:59.053480448,0.5236000000000001,60.73346524429575,0.48790000000000006,0.14570858490335173
2457,2018-06-26 21:30:00.182219264,0.5355000000000001,60.73356001998806,0.4998000000000001,0.14926245282782372
2452,2018-06-26 21:29:54.538610688,0.5236000000000001,60.7866096718288,0.48790000000000006,0.14570858490335173
2451,2018-06-26 21:29:53.409870336,0.5236000000000001,60.8860928500709,0.48790000000000006,0.14570858490335173
2450,2018-06-26 21:29:52.281132032,0.5712,61.0036420903452,0.5355000000000001,0.1599240566012397
2449,2018-06-26 21:29:51.152421888,0.5712,61.10977121900393,0.5355000000000001,0.1599240566012397
2448,2018-06-26 21:29:50.023692288,0.4998,61.19366685446875,0.4641,0.13860084905440773
2447,2018-06-26 21:29:48.895027712,0.5117,61.24704328292189,0.47600000000000003,0.1421547169788797
2446,2018-06-26 21:29:47.766273024,0.5117,61.27407656712631,0.47600000000000003,0.1421547169788797
2445,2018-06-26 21:29:46.637558784,0.5593,61.28734569073678,0.5236000000000001,0.15637018867676772
2444,2018-06-26 21:29:45.508795904,0.4998,61.29421208261121,0.4641,0.13860084905440773
2443,2018-06-26 21:29:44.380070912,0.4641,61.305371716986926,0.4284,0.12793924528099174
