practical_salinity,nitrate_concentration,time,seawater_temperature,salinity_corrected_nitrate,depth
1,\u00b5Mol L-1,UTC,\u00baC,\u00b5mol L-1,m
33.84791,27.92,2020-08-17T07:58:23Z,8.140095,28.463871,90.997246
33.84328,27.64,2020-08-17T07:59:02Z,8.147971,28.315836,89.22264
33.842625,28.09,2020-08-17T07:59:04Z,8.147951,28.529692,89.17318
33.842136,28.46,2020-08-17T07:59:43Z,8.155232,28.460526,87.49011
33.84191,27.5,2020-08-17T07:59:44Z,8.155396,28.442373,87.42771
33.83311,27.36,2020-08-17T08:00:22Z,8.164524,28.414892,85.67627
33.83227,28.11,2020-08-17T08:00:23Z,8.164885,28.468239,85.62684
33.800495,26.96,2020-08-17T08:01:02Z,8.19056,28.397188,83.96685
33.79996,27.81,2020-08-17T08:01:03Z,8.1909485,28.43025,83.91994
33.74962,27.62,2020-08-17T08:01:43Z,8.177863,28.482286,82.19156
33.748444,28.16,2020-08-17T08:01:44Z,8.177006,28.357946,82.128914
33.734493,26.18,2020-08-17T08:02:22Z,8.163973,26.69553,80.46717
33.733677,26.91,2020-08-17T08:02:23Z,8.163306,26.689898,80.424805
33.72237,25.71,2020-08-17T08:03:02Z,8.153023,26.262362,78.63473
33.722126,25.38,2020-08-17T08:03:04Z,8.152941,26.499846,78.60548
33.700245,25.42,2020-08-17T08:03:43Z,8.145978,26.145926,76.913536
33.699,26.47,2020-08-17T08:03:44Z,8.1448555,26.223473,76.85818
33.68081,25.64,2020-08-17T08:04:22Z,8.125886,25.901535,75.19421
33.685017,25.71,2020-08-17T08:04:24Z,8.124826,25.890076,75.15951
33.67033,25.03,2020-08-17T08:05:02Z,8.114006,25.789703,73.523926
33.65888,25.06,2020-08-17T08:05:42Z,8.1134615,25.33732,71.76361
33.658745,25.03,2020-08-17T08:05:43Z,8.113365,25.517143,71.70495
33.639263,24.63,2020-08-17T08:06:21Z,8.111179,25.19415,69.9764
33.63923,25.55,2020-08-17T08:06:22Z,8.11059,25.301767,69.933
33.62185,24.93,2020-08-17T08:07:02Z,8.10242,25.078653,68.248405
33.62187,24.29,2020-08-17T08:07:03Z,8.102348,25.150095,68.187225
33.62136,24.52,2020-08-17T08:07:41Z,8.100194,24.873339,66.47546
33.621403,24.62,2020-08-17T08:07:42Z,8.100194,24.949753,66.44648
33.602184,24.49,2020-08-17T08:08:21Z,8.087967,24.688889,64.71822
33.597622,24.83,2020-08-17T08:08:22Z,8.086943,24.838263,64.65294
33.575123,24.06,2020-08-17T08:09:01Z,8.069069,24.58453,62.954243
33.572685,23.96,2020-08-17T08:09:02Z,8.06904,24.479132,62.93168
33.524918,24.03,2020-08-17T08:09:41Z,8.028624,24.592785,61.204144
33.49161,23.99,2020-08-17T08:10:20Z,7.9991713,24.454338,59.49132
33.49114,23.93,2020-08-17T08:10:21Z,7.999703,24.465345,59.4651
33.469322,23.97,2020-08-17T08:11:01Z,7.9848313,23.68395,57.751637
33.46057,23.77,2020-08-17T08:11:02Z,7.983887,23.77209,57.710682
33.359463,23.34,2020-08-17T08:11:40Z,7.90659,23.649067,56.040527
33.300552,23.05,2020-08-17T08:12:20Z,7.8875146,23.418196,54.28911
33.30089,23.8,2020-08-17T08:12:21Z,7.886923,23.630745,54.26387
33.2816,22.72,2020-08-17T08:12:59Z,7.875141,23.250597,52.534557
33.284317,23.17,2020-08-17T08:13:00Z,7.8730917,23.287298,52.507397
